STASIUN;TANGGAL;TN;TX;TAVG;RH_AVG;RR;SS;FF_X;DDD_X;FF_AVG;DDD_CAR
Stasiun Meteorologi Radin Inten II;19/07/2021;23.4;33.4;27.6;77;-;8;4;90;2;C 
Stasiun Meteorologi Radin Inten II;20/07/2021;24;33.6;26.8;85;-;8.3;8;120;1;C 
Stasiun Meteorologi Radin Inten II;21/07/2021;23;31;26.2;80;32.4;4.5;3;240;1;C 
Stasiun Meteorologi Radin Inten II;22/07/2021;23;33.4;27.5;77;-;3.7;4;160;1;C 
Stasiun Meteorologi Radin Inten II;23/07/2021;23;32.2;27.1;80;-;8.7;4;160;2;C 
Stasiun Meteorologi Radin Inten II;24/07/2021;23.6;31.4;27.3;80;-;6.7;5;120;2;C 
Stasiun Meteorologi Radin Inten II;25/07/2021;22.6;33;27;73;-;0.8;6;160;2;W 
Stasiun Meteorologi Radin Inten II;26/07/2021;19.6;33;25.7;72;0;10.5;5;120;2;C 
Stasiun Meteorologi Radin Inten II;27/07/2021;20;33.2;26;70;-;11.7;5;120;2;C 
Stasiun Meteorologi Radin Inten II;28/07/2021;19.8;32.5;25.4;72;-;10.5;4;150;2;C 
Stasiun Meteorologi Radin Inten II;29/07/2021;20;33;26.7;77;-;9;7;140;3;C 
Stasiun Meteorologi Radin Inten II;30/07/2021;-;34;27;76;-;9;6;140;2;C 
Stasiun Meteorologi Radin Inten II;31/07/2021;22.2;33.4;27.4;76;0;9;4;110;2;SE
Stasiun Meteorologi Radin Inten II;01/08/2021;21.8;33.4;27.4;81;-;7.8;5;40;1;C 
Stasiun Meteorologi Radin Inten II;02/08/2021;23.8;31.2;26.7;84;0.5;5.5;4;90;1;C 
Stasiun Meteorologi Radin Inten II;03/08/2021;20;33;27.1;78;0.2;4.2;8;130;4;SE
Stasiun Meteorologi Radin Inten II;04/08/2021;-;33.4;27.5;79;-;10.4;6;100;2;SE
Stasiun Meteorologi Radin Inten II;05/08/2021;23.5;33;27.2;78;8888;8;6;140;2;C 
Stasiun Meteorologi Radin Inten II;06/08/2021;22.1;30.8;24.5;86;8888;4.9;6;90;2;C 
Stasiun Meteorologi Radin Inten II;07/08/2021;22.5;32.8;27;78;-;2.5;5;90;2;E 
Stasiun Meteorologi Radin Inten II;07/08/2021;22.5;32.8;27;78;-;2.5;5;90;2;E 
Stasiun Meteorologi Radin Inten II;08/08/2021;23.2;34;27.5;76;0;7.8;7;40;3;C 
Stasiun Meteorologi Radin Inten II;09/08/2021;22.4;33.8;27.7;78;-;9.6;6;130;2;C 
Stasiun Meteorologi Radin Inten II;10/08/2021;23.6;31;27;80;8888;6;4;140;2;SE
Stasiun Meteorologi Radin Inten II;11/08/2021;22.2;34;27.2;75;-;0.3;6;130;2;C 
Stasiun Meteorologi Radin Inten II;12/08/2021;22.6;34.4;28.1;69;-;9.8;6;110;2;C 
Stasiun Meteorologi Radin Inten II;13/08/2021;22.7;34.4;25.1;84;0;8.8;6;130;2;C 
Stasiun Meteorologi Radin Inten II;14/08/2021;22.2;31.2;26.2;82;1.7;3.6;5;110;1;C 
Stasiun Meteorologi Radin Inten II;15/08/2021;22.8;29.6;26.4;88;8888;4.5;7;120;2;C 
Stasiun Meteorologi Radin Inten II;16/08/2021;23;33.6;27.5;79;1;2.5;8;100;2;C 
Stasiun Meteorologi Radin Inten II;17/08/2021;23.2;31.4;26.5;82;-;7.6;5;110;2;C 
Stasiun Meteorologi Radin Inten II;18/08/2021;23;33.2;26.4;81;0;3.1;3;110;1;C 
Stasiun Meteorologi Radin Inten II;19/08/2021;-;32.6;26.7;82;0;6.8;5;120;2;S 
Stasiun Meteorologi Radin Inten II;20/08/2021;23.4;30;26.3;84;1;4;4;120;1;C 
Stasiun Meteorologi Radin Inten II;21/08/2021;23.2;32;24.4;94;-;1.5;4;130;1;C 
Stasiun Meteorologi Radin Inten II;22/08/2021;23.1;32.2;26.8;83;76;1;6;40;2;C 
Stasiun Meteorologi Radin Inten II;23/08/2021;22.6;33;27.4;78;0;6.5;4;110;1;C 
Stasiun Meteorologi Radin Inten II;24/08/2021;22.9;33.2;27.3;79;-;8.9;23;190;2;C 
Stasiun Meteorologi Radin Inten II;25/08/2021;23.4;33;27.4;74;0;7.5;4;150;1;C 
Stasiun Meteorologi Radin Inten II;26/08/2021;22;33.2;26.7;74;-;9.2;5;110;3;W 
Stasiun Meteorologi Radin Inten II;27/08/2021;22;33.6;27.1;73;-;10.5;4;130;2;C 
Stasiun Meteorologi Radin Inten II;28/08/2021;22.2;33.8;26.5;76;-;9.2;7;130;2;C 
Stasiun Meteorologi Radin Inten II;29/08/2021;23;28;24.9;91;-;4.2;2;60;1;C 
Stasiun Meteorologi Radin Inten II;30/08/2021;22.2;31.2;26.2;82;4.5;0;4;10;2;C 
Stasiun Meteorologi Radin Inten II;31/08/2021;22.6;30.4;26.6;86;-;3;3;260;1;C 
Stasiun Meteorologi Radin Inten II;01/09/2021;24;30.6;26.6;85;11.3;0;5;150;1;C 
Stasiun Meteorologi Radin Inten II;02/09/2021;-;33.4;27.6;78;1.9;1.8;6;120;2;C 
Stasiun Meteorologi Radin Inten II;03/09/2021;23;33.2;27;77;-;6.2;7;170;2;C 
Stasiun Meteorologi Radin Inten II;04/09/2021;22.6;32.4;27.3;77;-;4.5;7;80;2;SE
Stasiun Meteorologi Radin Inten II;04/09/2021;22.6;32.4;27.3;77;-;4.5;7;80;2;SE
Stasiun Meteorologi Radin Inten II;05/09/2021;22.6;33.2;27.4;80;0;8.8;6;80;2;C 
Stasiun Meteorologi Radin Inten II;06/09/2021;23.8;30;25;90;-;2;4;100;1;C 
Stasiun Meteorologi Radin Inten II;07/09/2021;23.1;31;26.3;83;51.9;1.2;6;130;2;SE
Stasiun Meteorologi Radin Inten II;08/09/2021;-;32.3;27.1;81;2.3;2.8;7;90;1;C 
Stasiun Meteorologi Radin Inten II;09/09/2021;22.8;32.8;27;76;0;6;5;140;1;C 
